Year,Closing,Year Open,Year High,Year Low,Year Close,Annual Change
2019.00,2835.83,2510.03,3025.86,2447.89,2883.09,0.15
2018.00,2746.21,2695.81,2930.75,2351.10,2506.85,-0.06
2017.00,2449.08,2257.83,2690.16,2257.83,2673.61,0.19
2016.00,2094.65,2012.66,2271.72,1829.08,2238.83,0.10
2015.00,2061.07,2058.20,2130.82,1867.61,2043.94,-0.01
2014.00,1931.38,1831.98,2090.57,1741.89,2058.90,0.11
2013.00,1643.80,1462.42,1848.36,1457.15,1848.36,0.30
2012.00,1379.61,1277.06,1465.77,1277.06,1426.19,0.13
2011.00,1267.64,1271.87,1363.61,1099.23,1257.60,0.00
2010.00,1139.97,1132.99,1259.78,1022.58,1257.64,0.13
2009.00,948.05,931.80,1127.78,676.53,1115.10,0.23
2008.00,1220.04,1447.16,1447.16,752.44,903.25,-0.38
2007.00,1477.18,1416.60,1565.15,1374.12,1468.36,0.04
2006.00,1310.46,1268.80,1427.09,1223.69,1418.30,0.14
2005.00,1207.23,1202.08,1272.74,1137.50,1248.29,0.03
2004.00,1130.65,1108.48,1213.55,1063.23,1211.92,0.09
2003.00,965.23,909.03,1111.92,800.73,1111.92,0.26
2002.00,993.93,1154.67,1172.51,776.76,879.82,-0.23
2001.00,1192.57,1283.27,1373.73,965.80,1148.08,-0.13
2000.00,1427.22,1455.22,1527.46,1264.74,1320.28,-0.10
1999.00,1327.33,1228.10,1469.25,1212.19,1469.25,0.20
1998.00,1085.50,975.04,1241.81,927.69,1229.23,0.27
1997.00,873.43,737.01,983.79,737.01,970.43,0.31
1996.00,670.49,620.73,757.03,598.48,740.74,0.20
1995.00,541.72,459.11,621.69,459.11,615.93,0.34
1994.00,460.42,465.44,482.00,438.92,459.27,-0.02
1993.00,451.61,435.38,470.94,429.05,466.45,0.07
1992.00,415.75,417.26,441.28,394.50,435.71,0.04
1991.00,376.19,326.45,417.09,311.49,417.09,0.26
1990.00,334.63,359.69,368.95,295.46,330.22,-0.07
1989.00,323.05,275.31,359.80,275.31,353.40,0.27
1988.00,265.88,255.94,283.66,242.63,277.72,0.12
1987.00,287.00,246.45,336.77,223.92,247.08,0.02
1986.00,236.39,209.59,254.00,203.49,242.17,0.15
1985.00,186.83,165.37,212.02,163.68,211.28,0.26
1984.00,160.46,164.04,170.41,147.82,167.24,0.01
1983.00,160.47,138.34,172.65,138.34,164.93,0.17
1982.00,119.71,122.74,143.02,102.42,140.64,0.15
1981.00,128.04,136.34,138.12,112.77,122.55,-0.10
1980.00,118.71,105.76,140.52,98.22,135.76,0.26
1979.00,103.00,96.73,111.27,96.13,107.94,0.12
1978.00,96.11,93.82,106.99,86.90,96.11,0.01
1977.00,98.18,107.00,107.00,90.71,95.10,-0.12
1976.00,102.04,90.90,107.83,90.90,107.46,0.19
1975.00,86.18,70.23,95.61,70.04,90.19,0.32
1974.00,82.78,97.68,99.80,62.28,68.56,-0.30
1973.00,107.44,119.10,120.24,92.16,97.55,-0.17
1972.00,109.13,101.67,119.12,101.67,118.05,0.16
1971.00,98.32,91.15,104.77,90.16,102.09,0.11
1970.00,83.15,93.00,93.46,69.29,92.15,0.00
1969.00,97.77,103.93,106.16,89.20,92.06,-0.11
1968.00,98.38,96.11,108.37,87.72,103.86,0.08
1967.00,91.96,80.38,97.59,80.38,96.47,0.20
1966.00,85.18,92.18,94.06,73.20,80.33,-0.13
1965.00,88.16,84.23,92.63,81.60,92.43,0.09
1964.00,81.37,75.43,86.28,75.43,84.75,0.13
1963.00,69.86,62.69,75.02,62.69,75.02,0.19
1962.00,62.32,70.96,71.13,52.32,63.10,-0.12
1961.00,66.27,57.57,72.64,57.57,71.55,0.23
1960.00,55.85,59.91,60.39,52.20,58.11,-0.03
1959.00,57.42,55.44,60.71,53.58,59.89,0.08
1958.00,46.20,40.33,55.21,40.33,55.21,0.38
1957.00,44.42,46.20,49.13,38.98,39.99,-0.14
1956.00,46.64,45.16,49.64,43.11,46.67,0.03
1955.00,40.50,36.75,46.41,34.58,45.48,0.26
1954.00,29.72,24.95,35.98,24.80,35.98,0.45
1953.00,24.72,26.54,26.66,22.71,24.81,-0.07
1952.00,24.45,23.80,26.59,23.09,26.57,0.12
1951.00,22.32,20.77,23.85,20.69,23.77,0.16
1950.00,18.39,16.66,20.43,16.65,20.41,0.22
1949.00,15.24,14.95,16.79,13.55,16.76,0.10
1948.00,15.51,15.34,17.06,13.84,15.20,-0.01
1947.00,15.15,15.20,16.20,13.71,15.30,0.00
1946.00,17.07,17.25,19.25,14.12,15.30,-0.12
1945.00,15.14,13.33,17.68,13.21,17.36,0.31
1944.00,12.47,11.66,13.29,11.56,13.28,0.14
1943.00,11.52,9.84,12.64,9.84,11.67,0.19
1942.00,8.67,8.89,9.77,7.47,9.77,0.12
1941.00,9.83,10.48,10.86,8.37,8.69,-0.18
1940.00,11.01,12.63,12.77,8.99,10.58,-0.15
1939.00,12.05,13.08,13.23,10.18,12.49,-0.05
1938.00,11.48,10.52,13.91,8.50,13.21,0.25
1937.00,15.41,17.02,18.68,10.17,10.55,-0.39
1936.00,15.45,13.40,17.69,13.40,17.18,0.28
1935.00,10.58,9.51,13.46,8.06,13.43,0.41
1934.00,9.83,10.11,11.82,8.36,9.50,-0.06
1933.00,9.04,6.83,12.20,5.53,10.10,0.47
1932.00,6.92,7.82,9.31,4.40,6.89,-0.15
1931.00,13.66,15.85,18.17,7.72,8.12,-0.47
1930.00,21.00,21.18,25.92,14.44,15.34,-0.28
1929.00,26.19,24.81,31.86,17.66,21.45,-0.12
1928.00,19.94,17.76,24.35,16.95,24.35,0.38
